"name","logo","workAreas","website","facebook","city","country","briefIntro"
"Goonj","https://ngobase.org/images/ngo_logos/IN/Goonj-ngo-charity.png","Environment and Climate -> Disaster Relief; Health -> WASH; Poverty Alleviation -> Poverty Alleviation","https://goonj.org/","https://www.facebook.com/goonj.org","New Delhi","India","Goonj (an Indian NGO) uses material as a tool to address critical gaps in rural infrastructure, water, environment, livelihood, education, health, disaster relief, and rehabilitation. Goonj has built a network of communities from urban to village India."
"Oxfam In Pakistan","https://ngobase.org/images/ngo_logos/PK/Oxfam-in-Pakistan-ngo.png","Poverty Alleviation -> Poverty Alleviation; Other Societal Benefits -> International; Health -> WASH","https://www.oxfam.org/en/what-we-do/countries/pakistan","https://www.facebook.com/Oxfam","Islamabad","Pakistan",""
"UN-Habitat Pakistan","https://ngobase.org/images/ngo_logos/PK/UN-Habitat-Pakistan-ngo-charity.jpg","Environment and Climate -> Disaster Relief; Health -> WASH; Other Societal Benefits -> International","https://unhabitat.org.pk/","https://www.facebook.com/profile.php?id=100080349237915","Islamabad","Pakistan",""
"United Nations - Pakistan","https://ngobase.org/images/ngo_logos/PK/United-Nations---Pakistan-ngo-charity.jpg","Poverty Alleviation -> Poverty Alleviation; Other Societal Benefits -> International; Health -> WASH","https://pakistan.un.org/","https://www.facebook.com/UnitedNationsPakistan","Islamabad","Pakistan",""
"UNOPS Pakistan","https://ngobase.org/images/ngo_logos/PK/UNOPS-Pakistan-ngo-charity.jpg","Health -> WASH; Development -> Community Development; Other Societal Benefits -> International","https://www.unops.org/pakistan",,"Islamabad","Pakistan",""
"Tata Trusts","https://ngobase.org/images/ngo_logos/IN/Tata-Trusts-ngo-charity.jpg","Development -> Community Development; Health -> Health Care - Other services; Health -> WASH","https://www.tatatrusts.org/","https://www.facebook.com/TataTrusts/","Mumbai","India","A non-profit organization in India that has been making a sustainable difference for over 125 years. Established India’s first cancer care hospital and also working in the fields of education, WASH, digital transformation, skill development, etc."
"Malteser International","https://ngobase.org/images/ngo_logos/PK/Malteser-International-ngo.jpg","Health -> WASH; Other Societal Benefits -> International; Environment and Climate -> Disaster Relief","https://www.malteser-international.org/en/our-work/asia/pakistan.html",,"Peshawar","Pakistan","Their mission is to provide medical and mental health support, clean water, sanitation and hygiene (WASH) in Pakistan. They work with local resources and engage local partners. 
Malteser International is an International NGO working in Pakistan."
"Research And Development Foundation (RDF)","https://ngobase.org/images/ngo_logos/PK/Research-and-Development-Foundation-(RDF)-ngo.jpg","Other Societal Benefits -> Research Work; Health -> WASH; Development -> Rural Development","http://www.rdfoundation.org.pk/",,"Hyderabad","Pakistan","RDF is working in the rural and semi rural areas in Sindh. Their mission is development of marginalized and poor groups. RDF working on the sector of education & learning, water and energy, health, nutrition and sanitation and disaster risk managment."
"Sungi Development Foundation","https://ngobase.org/images/ngo_logos/PK/Sungi-Development-Foundation-ngo.png","Development -> Rural Development; Health -> WASH; Rights -> Youth Welfare","https://sungi.org/","https://www.facebook.com/Sungidf/","Islamabad","Pakistan","Sungi is an NGO working for humanitarian sector and development in Pakistan. It is working on the development of marginalized communities through poverty alleviation, WASH,  gender justice, enhancing youth employability and enterprise development program."
"Water, Environment And Sanitation Society - WESS","https://ngobase.org/images/ngo_logos/PK/Water,-Environment-and-Sanitation-Society-ngo.jpg","Health -> WASH; Environment and Climate -> Environment Protection","https://wess.org.pk/","https://www.facebook.com/WESS.PK","Quetta","Pakistan","WESS is water, sanitation and hyiene (WASH) NGO in Pakistan. They are working on the following areas :- sustainable livelihood, environment, human rights, social & economic empowerment, Emergency relief in disasters etc. It was established in 1999."
